sf,lf_1,source_1,cui_1,semtypes_1,semgroups_1,lf_2,source_2,cui_2,semtypes_2,semgroups_2,is_train
PTAS,percutaneous transluminal angioplasty and stenting|percutaneous transluminal angioplasty with or without stenting,pubmed,C0038257|C2348535|C2936666,Medical Device|Therapeutic or Preventive Procedure,Devices|Procedures,potentially traumatic assignments,pubmed,C0332663|C1516050|C3245505,Functional Concept|Qualitative Concept,Concepts & Ideas,0
MP,musculoskeletal pain,pubmed,C0026858,Finding,Disorders,medial parvicellular|medial parvocellular,pubmed,C0205098,Spatial Concept,Concepts & Ideas,0
HARD,hardsoft magnetic oxides,pubmed,C0024488|C0030015|C0563532,Inorganic Chemical|Natural Phenomenon or Process|Occupation or Discipline,Chemicals & Drugs|Occupations|Phenomena,halfstrength sea water and fresh,pubmed,C0036499|C0443224|C0939938|C1161329|C2827486,Body Substance|Pharmacologic Substance|Qualitative Concept|Substance,Anatomy|Chemicals & Drugs|Concepts & Ideas|Objects,0
PGF,pg f,pubmed,C0016327|C0030827|C0072225|C1266240,Antibiotic|Inorganic Chemical|Laboratory Procedure|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs|Procedures,paralogous gene family|paralogous gene families,pubmed,C0015576|C1704727|C1709461,Classification|Conceptual Entity|Family Group,Concepts & Ideas|Living Beings,0
MEAD,map early afterdepolarizations,pubmed,C0024779|C1279919|C1706473|C4050322,Conceptual Entity|Laboratory Procedure|Manufactured Object|Temporal Concept,Concepts & Ideas|Objects|Procedures,methanol extract of adansonia digitata l leaf,pubmed,C0001963|C0202308|C3651697,Hazardous or Poisonous Substance|Laboratory Procedure|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs|Procedures,0
CCPD,cyclic peritoneal dialysis|cyclical peritoneal dialysis,pubmed,C0031139|C0439596|C1511572,Temporal Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Procedures,cyclic pd,pubmed,C0439596|C1511572|C4553228|C4553229,Intellectual Product|Temporal Concept,Concepts & Ideas,0
OBST,operational behavioural screening test,pubmed,C0038895|C0220908|C0220909|C0543467|C0683444|C1698960|C1710031|C1710032|C1710477|C2348164|C3241922|C3244305|C3244306|C3828701,Activity|Diagnostic Procedure|Functional Concept|Health Care Activity|Intellectual Product|Research Activity|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Procedures,orono biomechanical surface tester,pubmed,C0005537|C0183885|C0205148,Biomedical Occupation or Discipline|Medical Device|Spatial Concept,Concepts & Ideas|Devices|Occupations,0
FFI,feedforward inhibitory,pubmed,C3463820,Activity,Activities & Behaviors,feedforward inhibitory connectivity,pubmed,C1707489|C3463820,Activity|Functional Concept,Activities & Behaviors|Concepts & Ideas,0
VGK,voltagedependent k,pubmed,C0597277|C1708601,"Element, Ion, or Isotope|Pharmacologic Substance|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas,voltagegated k channels,pubmed,C0439799|C0597277|C1706095|C1708601|C3258486,"Conceptual Entity|Element, Ion, or Isotope|Pharmacologic Substance|Qualitative Concept|Quantitative Concept|Spatial Concept",Chemicals & Drugs|Concepts & Ideas,0
DIB,dibucaine,pubmed,C0012050,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,digital image based,pubmed,C0442015|C1527178|C1704254|C1704922|C1705938|C1883674|C3542466,Functional Concept|Idea or Concept|Intellectual Product|Qualitative Concept,Concepts & Ideas,0
